name,price,status,shipping,free_returns,itemssold
"JVC 13"" C-1320 MasterCommand CRT Television - Retro Video Gaming TV - no remote",6499,Pre-Owned,3499,False,
"1996 Samsung GX Gaming CRT Television 13"" TV GXE-1395 No Remote-Read Description",7499,Parts Only,10630,False,
"LG UP8000 50"" 80 Series 4K Ultra HD HDR Smart LED TV  - 3 HDMI (2021 Model)",49699,Brand New,0,False,
Sony KV-34XBR800 Trinitron  1080i CRT Television HDTV With Stand And Remote,18999,Pre-Owned,,False,
"Sony Trinitron KV-13M20 13"" CRT TV Retro Gaming Television - No Remote",11499,Parts Only,0,False,0
Sony KV-34XBR800 Trinitron  1080i CRT Television HDTV GAMING,70000,Pre-Owned,,False,
"TCL 43S435 43"" 4K Ultra HD HDR Roku Smart LED TV",29999,Brand New,0,False,460
"TCL 50"" 4K Ultra HD HDR Roku Smart LED TV *50S435",37760,New (Other),0,False,0
"Sceptre 50"" Class 4K UHD LED TV U515CV-U",29705,Brand New,0,False,
"Toshiba 13A25 13"" CRT TV Color Television OPEN BOX NEVER USED retro gaming",21000,New (Other),0,False,
"Working 1996 Samsung GX Gaming CRT Television 13"" TV GXE-1395 Read Description ",16000,Pre-Owned,10630,False,
"Samsung AU8000 65"" 4K Ultra HD HDR Smart LED TV - 2021 Model *UN65AU8000",70660,New (Other),0,False,0
"LG UP8000 50"" HDR 4K Ultra HD Smart LED TV - 2021 Model *50UP8000",48960,New (Other),0,False,0
"New ListingSanyo 13” CRT TV MODEL AVM-1307 Tested & Working, New Open Box, Read Description",15000,Brand New,5000,False,
Magnavox Smart Series 14” CRT TV 14MS2331/17  W/ Remote Retro Gaming Television,8995,Pre-Owned,10495,False,
"Haier HTR-13A CRT TV - 13"" Television - Tested Working - Old School Gamers TV",8999,Pre-Owned,9698,False,
"Haier HLT71 7"" 720p HD LCD Television",8400,Brand New,1625,False,
"DURABRAND 13"" CRT TV TELEVISION DWT1304 FOR GAMING CAMPING DORMS-TESTED & WORKS",16950,Pre-Owned,0,False,
"JVC AV-A14M3 14"" Retro Gaming Color CRT Television NO Remote",13500,Pre-Owned,6925,False,
Emerson TC0916 9 inch Television White Color Tube CRT TV Remote VTG 1993 ,9000,Pre-Owned,0,False,
Sony KD55X85J X85J 55 Inch Class HDR 4K UHD Smart LED TV 2021 Model Year,84800,Brand New,0,True,0
Sony KD43X85J X85J 43 Inch Class HDR 4K UHD Smart LED TV 2021 Model Year,64800,Brand New,0,True,0
,,,,False,
"Funai Durabrand 13"" CRT TV DWT1304 Retro Gaming Television + RF Modulator, Coax",10000,Pre-Owned,0,True,
"Toshiba  MD13P 1 TV DVD Player Combo 13"" CRT Television Video Stereo Combination",6999,Pre-Owned,9708,True,
Sony KD55X85J X85J 55 Inch Class HDR 4K UHD Smart LED TV with TV Floor Stand,84999,Brand New,0,True,0
Emerson TC1366 13 Inch CRT TV Retro Gaming Factory No Remote Tested Works,4000,Pre-Owned,2750,True,
Insignia 24 inch LED TV 1080p HD TV 60Hz Model NS-24E730A12 w/ 2 HDMI No STAND,8000,Pre-Owned,0,True,
"7"" HD Smart LCD TV Mini LED Music Television Player Audio Subwoofer HDMI USB",9129,Brand New,0,False,0
Tinker Bell Disney CRT TV With Remote TESTED/WORKS! Retro DVD / TV Combo,14999,Pre-Owned,9251,False,
"Samsung AU8000 50"" 4K Ultra HD HDR Smart LED TV - 2021 Model *UN50AU8000",48960,New (Other),0,False,0
Sony 52” TV LED Flat Screen kdl-52w4100,23000,Pre-Owned,,False,
"New ListingJENSEN 19"" LED Television w/ DVD Player and Stand - 12V",30514,Brand New,0,False,
"Sony Trinitron KV-40XBR800 Ultimate Gamer CRT TV With Stand, Remote & Manual",120000,Pre-Owned,,False,0
DORA the EXPLORER Emerson 15” CRT TV DVD Player DTE351 **WORKS PERFECT **,10500,Pre-Owned,3800,False,
"Panasonic PV-M2058 20"" VCR Retro Gaming Color CRT TV/FM with Remote Working",12500,Pre-Owned,11224,False,
Samsung BET-H Series 43 Inch Crystal 4K UHD Pro Commercial LED TV,42400,Brand New,0,True,0
Sony X91J 85 Inch Class HDR 4K UHD Smart LED TV,279800,Brand New,0,False,0
Sony KD65X85J X85J 65 Inch Class HDR 4K UHD Smart LED TV 2021 Model Year,99800,Brand New,0,False,0
Sony KD75X85J X85J 75 Inch Smart LED TV with Sony HTS350 Soundbar Bundle,227800,Brand New,0,False,0
"Toshiba 13A25 13"" CRT TV Color Television Retro Gaming TV Tested Works NO REMOTE",3900,Pre-Owned,9860,False,
