name,price,status,shipping,free_returns,itemssold
Brass & Plexiglass Tray Top Coffee Table by Baker,149500,,,False,0
Meadowcraft Micro Mesh Wrought Iron Round Coffee Table with Serving Tray Top,22500,,,False,0
Vtg Mid century Moroccan Embellished Peacock Brass Tray w/Wood Base Coffee Table,25000,Pre-Owned,2950,False,
Hollywood Regency Faux Bamboo Brass & Glass Coffee Table,149500,Pre-Owned,,False,0
Vintage Chinoiserie Yellow Laquer Handpainted Bird Floral Coffee Table Eclectic ,29997,,,False,0
"Wrought Iron Glass Mid-Century 1940’s French Coffee Table, in Style of Poillerat",60000,Pre-Owned,,False,0
KINDEL Oxford Mahogany Oval Inlaid Banded Coffee Table,69500,,,False,0
Italian Hollywood Regency Rectangular Gold Iron & Glass Cocktail Coffee Table ,100000,,25000,False,
Vintage 1970’s Burl Driftwood Glass Top Coffee Table and Round Side Table,95000,Pre-Owned,,False,
"Vintage Spanish Colonial Style Walnut Trestle Coffee Table, 3 Drawers",109500,Pre-Owned,,False,0
Industrial Farmhouse Round 2 Tier Reclaimed Chestnut Wood & Steel Coffee Table,28871,,,False,
Vintage Lucite & Glass Snail Coffee Table ISO Vladimir Kagan Karl Springer  ,84999,Pre-Owned,,False,
Lane Clawfoot Mahogany Coffee Table - Square - Claw & Ball Queens Anne Legs,15000,,,False,0
"UNUSUAL MAISON JANSEN ILLUMINATING COFFEE TABLE, FRANCE c.1970",377046,,0,False,
Weiman Mid Century Walnut Italian Marble Round Coffee Table French Provincial ,102000,Pre-Owned,0,False,
,,,,False,
Weiman Mid Century Walnut Italian Marble Round Coffee Table French Provincial ,102000,Pre-Owned,0,False,
Baker Furniture Co. Round Walnut banded coffee table 45 inches,110000,,,False,0
Vintage French Blacksmith's Bellows Coffee Table,54500,,,False,
GROSFELD FURNITURE FRENCH LOUIS XV ANTIQUE STYLE MARBLE TOP COFFEE TABLE,127500,,,False,0
BEAUTIFUL  FRENCH PROVINCIAL INLAID PAINTED COFFEE TABLE - 20NY2,25000,Pre-Owned,,False,0
1941 Late Art Deco Inlaid Marquetry Rectangular Walnut Glass Top Coffee Table,68000,Pre-Owned,0,False,
62140  Cherry Dropleaf Coffee Table Stand,23500,Pre-Owned,,False,
Italian Rococo Style Quality Carved Coffee Table,89500,,,False,
"Coffee Table Tubular ""X"" Frame Base Low Profile c1979 Mid Century Modern ",35010,,16900,True,
Vintage Designer Hand Carved Wood Elephant Coffee Table,75000,,,False,
Vintage Coffee Table With Glass Top!,10000,,,False,
Ethan Allen American Classics Cocktail Coffee Table One Drawer Cherry #31-8220,35000,Pre-Owned,25000,False,
Century Clive Coffee Table- Solid well crafted table!!,49500,,,False,
Antique French Provincial Pink Marble Serpentine Carved Walnut Oval Coffee Table,136000,,0,False,
Vintage MCM Coffee Table Japanese Ceremonial Tea Copper Lined  Hibachi L👀k,58500,Pre-Owned,,False,0
VINTAGE 70's MODERNIST CHARLES HOLLIS JONES CHROME LUCITE GLASS TOP COFFEE TABLE,97500,,,False,0
New ListingJohn Widdicomb WM A Berkey Italian Provincial Regency Round Walnut Coffee Table,101830,,0,False,
VINTAGE STACKED LUCITE COFFEE TABLE BASE,140000,,6000,False,
Erwin Lambeth Walnut Brass & Glass Fireplace Fender Gallery Square Coffee Table,199750,,0,False,
Jeffco French Louis XVI Style Coffee Table,96500,,,False,
1920 Antique French Louis XV Walnut & Marble top coffee table / side table,95000,,,False,0
Vintage Greek Key Glass Top Coffee Table,86500,Pre-Owned,,False,
New ListingHollywood Regency Marble Coffee Table and matching End Tables,250000,Pre-Owned,,False,
Vintage Asian Style Coffee Table,79500,Pre-Owned,,False,
Set of 4 Antique French Provincial Carved & Inlaid Tables-Coffee-2 Side-Tiered,41500,,,False,
"Coffee Sofa Table Thatch Weave Doors 1960s Mid Century Modern 66"" Lane Walnut ",62640,,16900,False,
"Hollywood Regency LaBarge Brass Swan Coffee Table 31""",39900,,,False,0
Faux Bamboo Vintage Gilt Metal Oval Glass Top Coffee Table,89500,,,False,
Beautiful Vintage Three Piece Glass Top Brass Coffee Table...Very Unique ,14900,,,True,0
Handsome Antique Hand Painted Tole Tray Table -Garden Roses Coffee End Table,14800,Pre-Owned,2285,True,
Noguchi Style Glass Top Modern Design Coffee Table,46500,,,False,0
 Schnadig Decor Leather Wrapped Trunk Coffee / Cocktail Table ,69500,Pre-Owned,,False,0
Special Arhaus French Country Coffee Cocktail Table Natural Black Huge Long,95000,,,False,
61904 Glass Top Coffee Table with Metal Carved base,23500,,,False,0
Richard Schultz Knoll Vintage Cocktail Coffee Table,79500,,,False,0
3 MERSMAN 60's Mid Century Danish Modern End/Side Coffee Table Set,19999,,,False,0
Custom Solid Cherry Square Glass Top American Impressions Style Coffee Table,49500,,,False,0
